MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R2->reg,Scale_OV,Out_reg,Imm_val
POP,0FA1,,,POP,,FS,,,,,1,,,,,
POP,0FA9,,,POP,,GS,,,,,1,,,,,
POPA,61,,,POPA,1,,,,,,,,,,,
POPF,9D,,,POPF,1,,,,,,,,,,,
PUSH,FF,6,,PUSH,1,m,,,1,,,,,,,
PUSH,50,,1,PUSH,1,r,,,1,,,,,,,
PUSH,6A,,,PUSH,,imm8,,,1,,,,,,,
PUSH,68,,,PUSH,1,imm,,,1,,,,,,,
PUSH,0E,,,PUSH,,CS,,,1,,,,,,,
PUSH,16,,,PUSH,,SS,,,1,,,,,,,
PUSH,1E,,,PUSH,,DS,,,1,,,,,,,
PUSH,6,,,PUSH,,ES,,,1,,,,,,,
PUSH,0FA0,,,PUSH,,FS,,,1,,,,,,,
PUSH,0FA8,,,PUSH,,GS,,,1,,,,,,,
PUSHA,60,,,PUSHA,1,,,,,,,,,,,
PUSHF,9C,,,PUSHF,1,,,,,,,,,,,
RCL,D0,2,,ROT,,r/m8,cst,,1,1,1,,,,,1
RCL,D1,2,,ROT,1,r/m,cst,,1,1,1,,,,,1
RCL,D2,2,,ROT,,r/m8,CL,,1,1,1,,,,,
RCL,D3,2,,ROT,1,r/m,CL,,1,1,1,,,,,
RCL,C0,2,,ROT,,r/m8,imm8,,1,1,1,,,,,
RCL,C1,2,,ROT,1,r/m,imm8,,1,1,1,,,,,
RCR,D0,3,,ROT,,r/m8,cst,,1,1,1,,,,,1
RCR,D1,3,,ROT,1,r/m,cst,,1,1,1,,,,,1
RCR,D2,3,,ROT,,r/m8,CL,,1,1,1,,,,,
RCR,D3,3,,ROT,1,r/m,CL,,1,1,1,,,,,
RCR,C0,3,,ROT,,r/m8,imm8,,1,1,1,,,,,
RCR,C1,3,,ROT,1,r/m,imm8,,1,1,1,,,,,
ROL,D0,0,,ROT,,r/m8,cst,,1,1,1,,,,,1
